epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
71,3880.58,0.03782,0.94875,0.99625,2.12992,0.000219198,0.000219198,0.000219198
72,3935.77,0.03232,0.955,0.99625,2.12891,0.000212129,0.000212129,0.000212129
73,3991.71,0.02562,0.94875,0.99625,2.13203,0.000205061,0.000205061,0.000205061
74,4047.01,0.03298,0.9475,0.9975,2.13297,0.000197992,0.000197992,0.000197992
75,4103.29,0.02703,0.9525,0.99625,2.13148,0.000190924,0.000190924,0.000190924
76,4159.29,0.03373,0.955,0.99625,2.13047,0.000183855,0.000183855,0.000183855
77,4214.84,0.0268,0.94875,0.99625,2.12969,0.000176786,0.000176786,0.000176786
78,4270.41,0.03896,0.95,0.9975,2.13305,0.000169718,0.000169718,0.000169718
79,4326.57,0.03849,0.94875,0.9975,2.13359,0.000162649,0.000162649,0.000162649
80,4382.03,0.03055,0.955,0.9975,2.12898,0.000155581,0.000155581,0.000155581
81,4436.48,0.03115,0.9525,0.9975,2.13031,0.000148512,0.000148512,0.000148512
82,4492.55,0.03408,0.94875,0.9975,2.13203,0.000141443,0.000141443,0.000141443
83,4547.37,0.03203,0.95,0.99625,2.13297,0.000134375,0.000134375,0.000134375
84,4602.4,0.02865,0.95,0.99625,2.13008,0.000127306,0.000127306,0.000127306
85,4656.3,0.0266,0.9525,0.99625,2.12875,0.000120238,0.000120238,0.000120238
86,4711.3,0.02117,0.9525,0.99625,2.12992,0.000113169,0.000113169,0.000113169
87,4766.72,0.02694,0.95375,0.9975,2.12883,0.0001061,0.0001061,0.0001061
88,4820.97,0.0284,0.95375,0.9975,2.12758,9.90318e-05,9.90318e-05,9.90318e-05
89,4876.45,0.02431,0.95375,0.9975,2.12742,9.19632e-05,9.19632e-05,9.19632e-05
90,4930.66,0.01942,0.9525,0.9975,2.12867,8.48946e-05,8.48946e-05,8.48946e-05
91,4999.85,0.02378,0.95,0.9975,2.12906,7.7826e-05,7.7826e-05,7.7826e-05
92,5062.19,0.02352,0.95,0.9975,2.13,7.07574e-05,7.07574e-05,7.07574e-05
93,5117.24,0.02109,0.95375,0.9975,2.12781,6.36888e-05,6.36888e-05,6.36888e-05
94,5172.73,0.01545,0.95375,0.9975,2.12781,5.66202e-05,5.66202e-05,5.66202e-05
95,5228.21,0.02586,0.9525,0.9975,2.12758,4.95516e-05,4.95516e-05,4.95516e-05
96,5284.4,0.01245,0.9525,0.9975,2.12789,4.2483e-05,4.2483e-05,4.2483e-05
97,5339.9,0.0191,0.95375,0.9975,2.12711,3.54144e-05,3.54144e-05,3.54144e-05
98,5395.74,0.02995,0.9525,0.9975,2.1275,2.83458e-05,2.83458e-05,2.83458e-05
99,5451.91,0.02027,0.95625,0.99625,2.12758,2.12772e-05,2.12772e-05,2.12772e-05
100,5507.65,0.0228,0.955,0.9975,2.12734,1.42086e-05,1.42086e-05,1.42086e-05
